"","TPL_names","company_name_checked_tog","webpage_check_tog","n.company","n.webpage_check","PIC.id_tog","province_tog","city_tog","n.province","n.city","seed_1","adult_1","vegetative_1","seed_0","adult_0","vegetative_0","seed_max","adult_max","vegetative_max","hard_zone_min_suitable_1","hard_zone_min_suitable_0","hard_zone_min_suitable_na","mean.height","Standardized_names","id_checklist","TPL_Group","Family","TPL_Family","TPL_New.Genus","TPL_New.Hybrid.marker","TPL_New.Species","TPL_New.Infraspecific.rank","TPL_New.Infraspecific","TPL_New.Authority","TPL_New.ID","TPL_New.Taxonomic.status","TPL_Date","tip.label","tip.order","match.type","naturalized_status_bs_yan_etal_2019","naturalized_status_before2022","Height_max_tog","Height_max_max","Height_max_data_source_tog","Epiphyte_max","Climber_max","Parasite_max","Aquatic_max","Free_standing_Woody","Short_lived_Herb","Long_lived_Herb","Life_form_new","LF_data_source","wcup_eco_use_AF","wcup_eco_use_EU","wcup_eco_use_FU","wcup_eco_use_GS","wcup_eco_use_HF","wcup_eco_use_IF","wcup_eco_use_MA","wcup_eco_use_ME","wcup_eco_use_PO","wcup_eco_use_SU","wcup_eco_use_num","hard_zone_min_mx","hard_zone_max_mx","Invasion2014_status","X2018invasion_status","Invasion2018_status","naturalized_status","prov_sum_EN","prov_sum_CHN","bg_num","chklst_prov_num","new_sum.L3.code","residence_time_to_2020","hab_suit_prop_max","prop_type"
"1","Abelmoschus esculentus","沭阳唱亮园林绿化有限公司; 沭阳县溢芳花卉园","https://sychangliangyl.1688.com; https://yifangzhongye.1688.com",2,2,"pic1; pic2","江苏","宿迁市",1,1,2,0,0,0,2,2,1,0,0,0,2,0,NA,"Abelmoschus esculentus","Species_19007","Angiosperms","Malvaceae","Malvaceae","Abelmoschus",NA,"esculentus",NA,NA,"(L.) Moench","kew-2609574","Accepted","2019/03/24 00:00:00","Abelmoschus_esculentus",2314,"directly matched","naturalized",1,"2; 0.3; 0.6; 0.9; 1.2; 1.8; 2.4; 3",3,"EGF2; czerepanov; DavesGarden",0,0,0,0,1,1,1,3,"TPL_Tiplabels_LF_fine",1,1,1,1,1,0,1,1,1,1,9,9,11,1,NA,0,1,NA,NA,17,16,3,94,0.236430862,1
"2","Abrus precatorius","临沂飞航园林绿化有限公司; 沭阳县潼阳镇柏宇花卉园艺场; 睢宁县苏北十里花卉苗木场","https://shop3220794j7j531.1688.com; https://shop018851296558.1688.com; https://sbslhhmmc.1688.com",3,3,"pic3; pic4; pic5","山东; 江苏","临沂市; 宿迁市; 徐州市",2,3,3,0,0,0,3,3,1,0,0,0,3,0,NA,"Abrus precatorius","Species_12782","Angiosperms","Leguminosae","Leguminosae","Abrus",NA,"precatorius",NA,NA,"L.","ild-2477","Accepted","2019/03/24 00:00:00","Abrus_precatorius",1643,"directly matched","not_naturalized",0,"12",12,"DavesGarden",0,1,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",1,1,0,0,1,0,1,1,1,1,7,9,11,0,NA,0,0,NA,NA,7,7,73,103,NA,3
"3","Abutilon megapotamicum","漳州市旺木园林绿化工程有限公司","https://shop58761q38v7197.1688.com",1,1,"pic6","福建","漳州市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,20,"Abutilon megapotamicum","Species_19120","Angiosperms","Malvaceae","Malvaceae","Abutilon",NA,"megapotamicum",NA,NA,"(A.Spreng.) A.St.-Hil. & Naudin","kew-2610783","Accepted","2019/03/24 00:00:00","Abutilon_megapotamicum",2333,"directly matched","not_naturalized",0,"2.5; 1.2; 1.8; 2.4",2.5,"EGF2; DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",0,1,0,0,0,0,0,0,0,0,1,7,11,0,NA,0,0,NA,NA,1,2,NA,NA,0.125480228,3
"4","Abutilon pictum","景之华园林源头厂家; 沭阳轩洋园林有限公司; 宿迁国宏园林绿化工程源头厂家","https://shop73807h299bb82.1688.com; https://shop5679212c66k56.1688.com; https://shop8639x60578172.1688.com",3,3,"pic7; pic8; pic9","江苏","宿迁市",1,1,0,3,0,3,0,3,0,1,0,0,3,0,NA,"Abutilon pictum","Species_19122","Angiosperms","Malvaceae","Malvaceae","Abutilon",NA,"pictum",NA,NA,"(Gillies ex Hook.) Walp.","kew-2610887","Accepted","2019/03/24 00:00:00","Abutilon_pictum",2207,"species added to genus root","naturalized",1,"5; 0.6; 1.8; 2.4; 3; 3.6",5,"EGF2; DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",0,1,0,0,0,0,1,1,0,0,3,8,11,0,NA,0,1,NA,NA,12,10,5,119,0.045697449,3
"5","Abutilon theophrasti","沭阳县佳康园林绿化苗木场","https://shop1409244121414.1688.com",1,1,"pic10","江苏","宿迁市",1,1,1,0,0,0,1,1,1,0,0,1,0,0,NA,"Abutilon theophrasti","Species_19125","Angiosperms","Malvaceae","Malvaceae","Abutilon",NA,"theophrasti",NA,NA,"Medik.","kew-2611008","Accepted","2019/03/24 00:00:00","Abutilon_theophrasti",2331,"directly matched","naturalized",1,"1; 0.25; 1.2",1.2,"EGF2; czerepanov; DavesGarden",0,0,0,0,1,1,1,3,"TPL_Tiplabels_LF_fine",1,0,1,1,1,0,1,1,0,0,6,1,11,1,"3",1,1,16,30,14,16,6,115,0.279586354,3
"6","Acacia confusa","沭阳县佳康园林绿化苗木场; 沭阳县张圩乡荷塘月色花卉经营部; 宿迁绿之谦种业有限公司; 宿迁市阿里园林绿化工程有限公司; 宿迁市小不点园林景观工程有限公司","https://shop1409244121414.1688.com; https://caozhong.1688.com; https://lzqseed.1688.com; https://caohua.1688.com; https://shop1466614878545.1688.com",5,5,"pic11; pic12; pic13; pic14; pic15","江苏","宿迁市",1,1,5,0,0,0,5,5,1,0,0,0,5,0,NA,"Acacia confusa","Species_12426","Angiosperms","Leguminosae","Leguminosae","Acacia",NA,"confusa",NA,NA,"Merr.","ild-32525","Accepted","2019/03/24 00:00:00","Acacia_confusa",1831,"directly matched","not_naturalized",0,"12",12,"DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",1,1,1,0,0,0,1,0,1,0,5,9,11,1,NA,0,0,NA,NA,17,12,4,106,NA,3
"7","Acacia farnesiana","成都启红园林绿化有限公司; 崇州市梓潼红新苗圃; 大福源园林绿化源头厂家; 湖南德政苗木有限公司; 嘉祥县昊达牛羊养殖专业合作社; 江苏奥淇园林绿化工程有限公司; 江苏蕙质兰心种业有限公司; 九江杨柳林木种苗站; 临沂飞航园林绿化有限公司; 临沂花恋蝶园林绿化有限公司; 南宁景龙生态实力卖场; 沭阳博奇花木园艺场; 沭阳唱亮园林绿化有限公司; 沭阳大友生态园林工程有限公司; 沭阳绿友种业有限公司; 沭阳县弘善园林绿化工程有限公司; 沭阳县宏之瑞园林绿化苗木场; 沭阳县花之源花木园艺场; 沭阳县佳康园林绿化苗木场; 沭阳县绿帆苗木园艺场; 沭阳县庙头镇福盈瑞绿化苗木场; 沭阳县瑞智花卉苗木园艺场; 沭阳县潼阳镇柏宇花卉园艺场; 沭阳县潼阳镇姐妹双姝花卉销售中心; 沭阳县潼阳镇尚源园林苗木场; 沭阳县新河镇利芳花卉苗木场; 沭阳县新河镇苏恒花卉苗木场; 沭阳县新河镇周圈村西南花卉苗木园艺场; 沭阳县颜集镇叶枝苑绿化苗木场; 沭阳县颜集镇泽颖萱花卉园艺场; 沭阳县溢芳花卉园; 沭阳县扎下镇小鱼儿花卉园艺场; 宿迁秋阳种业有限公司; 宿迁市小不点园林景观工程有限公司; 睢宁县苏北十里花卉苗木场; 田野风（广州）生态园林有限公司萝岗分公司; 温江区军健园艺场; 温江振川园艺场; 长沙市雨花区福兴苗圃; 长沙市雨花区海明园艺场; 长沙市雨花区和赢园艺场; 长沙市雨花区君威苗圃; 长沙市雨花区莲华苗木场; 长沙市雨花区联营苗木场; 长沙市雨花区求创苗木场; 长沙市雨花区兴德苗木场; 长沙市雨花区杨剑苗圃; 长沙市雨花区禹勋苗圃; 长沙市雨花区治维苗圃; 长沙市雨花区中和苗圃","https://shop3040d0414y155.1688.com; https://shop1387558622870.1688.com; https://13382905985.1688.com; https://youxingmp.1688.com; https://shop1407343929142.1688.com; https://aoqimiaomu.1688.com; https://shop5534319727181.1688.com; https://jjylzm.1688.com; https://jxyllm.1688.com; https://shop3220794j7j531.1688.com; https://shop91124ma4718h8.1688.com; https://nnjlst.1688.com; https://shop1385053043758.1688.com; https://sychangliangyl.1688.com; https://13285271888.1688.com; https://sylyzy.1688.com; https://shop1438188714981.1688.com; https://shop1442594993169.1688.com; https://jiangzhaobao.1688.com; https://shop1409244121414.1688.com; https://lufanmiaomu.1688.com; https://shop1491498647250.1688.com; https://shop1411922874804.1688.com; https://shop018851296558.1688.com; https://shop1427907187293.1688.com; https://shop1413573623110.1688.com; https://shop1405616184621.1688.com; https://suheng350.1688.com; https://syxinan.1688.com; https://lixiangyang312.1688.com; https://shopzeyingxuan.1688.com; https://yifangzhongye.1688.com; https://huahai.1688.com; https://qiuyangzhongye.1688.com; https://shop1466614878545.1688.com; https://sbslhhmmc.1688.com; https://hualala197533.1688.com; https://cdspring888.1688.com; https://wjqyyl.1688.com; https://llmp168.1688.com; https://shop355m47ky57687.1688.com; https://heyingyuanyi.1688.com; https://jwmp66.1688.com; https://lianhuamiaomu.1688.com; https://lianyingmmc.1688.com; https://qiuchuangmp.1688.com; https://csxdmp.1688.com; https://yangjianmiaopu.1688.com; https://csyxmp.1688.com; https://zhiweimp.1688.com; https://gongw2010.1688.com",50,50,"pic16; pic17; pic18; pic19; pic20; pic21; pic22; pic23; pic24; pic25; pic26; pic27; pic28; pic29; pic30; pic31; pic32; pic33; pic34; pic35; pic36; pic37; pic38; pic39; pic40; pic41; pic42; pic43; pic44; pic45; pic46; pic47; pic48; pic49; pic50; pic51; pic52; pic53; pic54; pic55; pic56; pic57; pic58; pic59; pic60; pic61; pic62; pic63; pic64; pic65; pic66","四川; 江苏; 湖南; 山东; 江西; 广西; 广东","成都市; 宿迁市; 长沙市; 济宁市; 九江市; 临沂市; 南宁市; 徐州市; 广州市",7,9,28,23,0,22,27,50,1,1,0,20,30,0,500,"Acacia farnesiana","Species_12336","Angiosperms","Leguminosae","Leguminosae","Acacia",NA,"farnesiana",NA,NA,"(L.) Willd.","ild-423","Accepted","2019/03/24 00:00:00","Acacia_farnesiana",1872,"matched after tpl standardization of phylogeny","naturalized",1,"6; 9",9,"DavesGarden",NA,NA,NA,NA,NA,NA,NA,NA,"TPL_Tiplabels_LF_fine",1,1,1,1,1,1,1,1,0,0,8,8,11,1,"being comfirmed",1,1,12,15,15,11,48,115,0.164562812,3
"8","Acacia mangium","中山市庭院管家园林绿化工程有限公司","https://shop9197498rg8p85.1688.com",1,1,"pic67","广东","中山市",1,1,0,1,0,1,0,1,0,1,0,NA,NA,1,200,"Acacia mangium","Species_12442","Angiosperms","Leguminosae","Leguminosae","Acacia",NA,"mangium",NA,NA,"Willd.","ild-48913","Accepted","2019/03/24 00:00:00","Acacia_mangium",1826,"directly matched","not_naturalized",0,NA,NA,NA,0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",1,1,1,0,1,0,1,1,0,0,6,NA,NA,0,NA,0,0,NA,NA,7,5,3,35,0.031918888,NA
"9","Acalypha wilkesiana","东莞市新视野园林绿化有限公司; 龙海市博豪园林绿化工程有限公司; 沭阳县颜集镇鼎仁园林绿化苗木场; 漳浦好客园艺源头厂家; 漳浦县马口绿慧园艺场; 漳浦县马口明鑫园艺场; 中山市庭院管家园林绿化工程有限公司","https://xsyyl.1688.com; https://shop9m42848344771.1688.com; https://shop1429116696432.1688.com; https://haokeyy.1688.com; https://shop1451321381043.1688.com; https://shop2163378729q94.1688.com; https://shop63x10228a2800.1688.com",7,7,"pic68; pic69; pic70; pic71; pic72; pic73; pic74","广东; 福建; 江苏","东莞市; 漳州市; 宿迁市; 中山市",3,4,0,7,0,7,0,7,0,1,0,6,1,0,41,"Acalypha wilkesiana","Species_16197","Angiosperms","Euphorbiaceae","Euphorbiaceae","Acalypha",NA,"wilkesiana",NA,NA,"M<U+00A8><U+00B9>ll.Arg.","kew-1384","Accepted","2019/03/24 00:00:00","Acalypha_wilkesiana",98,"directly matched","not_naturalized",0,"5; 0.6; 1.2; 1.8; 2.4; 3",5,"EGF2; DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",0,1,0,0,1,0,0,1,1,0,4,9,11,0,NA,0,0,NA,NA,19,13,5,113,0.037291661,2
"10","Acer negundo","开原市金柏苗圃; 开原市绿道苗圃; 深州金池蓝天苗木场; 沭阳县佳康园林绿化苗木场; 沭阳县潼阳镇姐妹双姝花卉销售中心; 沭阳县新河镇苏恒花卉苗木场","https://shop1401900856475.1688.com; https://shop1436547402311.1688.com; https://shop5924000g7x9q3.1688.com; https://shop1409244121414.1688.com; https://shop1427907187293.1688.com; https://suheng350.1688.com",6,6,"pic75; pic76; pic77; pic78; pic79; pic80","辽宁; 河北; 江苏","铁岭市; 衡水市; 宿迁市",3,3,3,3,0,3,3,6,1,1,0,6,0,0,1233.33333333333,"Acer negundo","Species_18394","Angiosperms","Sapindaceae","Sapindaceae","Acer",NA,"negundo",NA,NA,"L.","kew-2616024","Accepted","2019/03/24 00:00:00","Acer_negundo",2512,"directly matched","naturalized",1,"25; 29; 12",29,"EGF2; enzyklopaedie; DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",0,1,1,0,0,0,1,1,0,0,4,1,9,1,NA,0,1,NA,NA,20,18,50,94,0.292411681,3
